,DA_$perMWh,RTavg_$perMWh,Reg_RMCCP_avg_$perMWh,E_DA_MWh,DE_MWh,R_RTpos_MWh,R_RTneg_MWh
14,44.772625,36.93833333333333,12.55,0.0,0.0,0.0,0.0
15,48.947363,43.07,8.15,0.0,0.0,0.0,0.0
16,63.526747,62.518333333333345,34.58,0.0,0.0,0.0,0.0
17,102.772638,70.02416666666667,39.61,0.0,0.0,0.0,0.0
18,74.295689,72.05166666666666,21.49,0.0,0.0,0.0,0.0
19,68.042398,62.63750000000001,10.76,0.0,0.0,0.0,0.0
20,66.102087,67.00083333333333,39.25,0.0,0.0,0.0,0.0
21,67.615434,61.285833333333336,47.56,0.0,0.0,0.0,0.0
22,64.694043,96.46083333333335,103.38,0.0,-0.006995972897586661,0.0,0.019240924919333074
23,59.950092,58.221666666666664,60.28,0.0,0.0,0.0,0.0
24,62.133523,125.87916666666666,112.03,0.028938578277870948,0.01993857827787094,0.02025700479450966,0.0
25,58.362274,93.95166666666665,248.02,0.02606146100864302,0.017061461008643017,0.018243022706050115,0.0
26,56.765002,69.37499999999999,112.19,-8.454745144897374e-09,-0.009000008460134268,-2.583371533099603e-09,0.025428531599248606
27,56.470406,71.83083333333333,50.31,0.0,0.0,0.0,0.0
28,58.764017,73.06666666666668,93.57,0.0,-0.005973229166666669,0.0,0.01526851183867353
29,62.779411,77.15833333333335,99.51,0.007188741650929811,0.004622952114009279,0.005032119155650868,0.0
30,79.67775,95.03916666666667,151.0,0.0,-0.006123406639508627,0.0,0.012803399837168673
31,100.994762,110.08583333333335,118.79,0.0,-0.001591601759318547,0.0,0.004691832923899201
32,62.710348,78.515,64.14,0.0,0.0,0.0,0.0
33,56.117546,87.25999999999999,42.44,0.0,0.0,0.0,0.0
34,52.788967,84.42666666666668,41.97,0.0,0.0,0.0,0.0
35,47.215329,80.27166666666666,13.17,0.0,0.0,0.0,0.0
36,45.256707,69.01083333333334,45.77,0.0,0.0,0.0,0.0
37,44.578456,61.0625,30.13,0.0,0.0,0.0,0.0
